"vtkOriginalPointIds","Points:0","Points:1","Points:2"
6617,0.17418,-0.056325,0.00080085
6620,0.16366,-0.068322,0.0012554
6989,0.16627,0.067478,-0.021274
6990,0.16674,0.064734,-0.003184
6991,0.17699,0.05157,-0.0026692
6992,0.17686,0.054497,-0.020398
7088,-0.11583,0.1027,-0.022374
7091,-0.098497,0.10946,-0.023347
7108,-0.079684,0.11514,-0.0028596
7109,-0.079821,0.11477,-0.024367
7110,-0.060121,0.11885,-0.025345
7111,-0.05996,0.11953,-0.0032917
7291,0.12362,0.099042,-0.024226
7292,0.10591,0.10695,-0.025199
7521,0.18543,0.037311,-0.0021421
7557,-0.11955,-0.10034,0.00053319
7559,-0.10253,-0.10763,0.0012996
7613,-0.063771,-0.11811,-0.018988
7615,-0.044127,-0.12112,-0.018797
7765,-0.18118,-0.045629,-0.0020658
7766,-0.17229,-0.058944,-0.0017462
7805,-0.13375,-0.093005,-0.01964
7806,-0.135,-0.091535,-0.00018732
7807,-0.11822,-0.10155,-0.019506
8123,0.086695,0.11301,-0.026051
8124,0.088024,0.11289,-0.0049972
8125,0.067621,0.11794,-0.0050784
8126,0.066426,0.11754,-0.026732
8237,0.0033302,0.12486,-0.004561
8240,-0.01819,0.12445,-0.0041648
8325,-0.1915,0.018304,-0.0022084
8326,-0.19282,0.017305,-0.019425
8327,-0.19438,0.00017812,-0.019484
8328,-0.19334,0.0015725,-0.0023125
8329,0.074907,-0.11503,-0.017544
8331,0.055804,-0.1189,-0.01775
8353,0.1107,-0.10435,-0.017249
8354,0.093301,-0.11027,-0.017383
8539,-0.19229,-0.015101,-0.0023371
8540,-0.1879,-0.030933,-0.0022605
8594,0.10859,-0.10542,0.0032223
8595,0.091392,-0.11152,0.0036818
8689,0.046488,0.12167,-0.0050463
8692,0.024952,0.1239,-0.0048673
8701,-0.19275,-0.01682,-0.01962
8702,-0.18816,-0.032948,-0.019732
8864,-0.17991,0.048736,-0.019681
8867,-0.18773,0.033686,-0.019515
8993,0.19477,0.0079387,-0.018247
8994,0.19361,0.0051809,-0.0010322
8995,0.19296,-0.011516,-0.0005003
8996,0.19455,-0.0089548,-0.017762
9196,0.0027627,0.12338,-0.02722
9197,-0.018564,0.12316,-0.026825
9291,0.034622,-0.12273,0.0044527
9292,0.014701,-0.12421,0.0044307
9318,0.15453,0.076686,-0.0036878
9321,0.14061,0.087706,-0.004138
9390,-0.082878,-0.11394,-0.019169
9418,0.12488,0.097695,-0.0045165
9419,0.10725,0.10615,-0.0048101
9457,-0.10116,-0.10856,-0.019336
9514,0.18248,-0.042555,0.00039704
9561,-0.14896,-0.081677,-0.00081391
9576,0.19095,-0.025301,-0.017434
9577,0.1891,-0.027604,-3.938e-05
9578,0.18464,-0.040556,-0.017244
9623,0.045475,0.12068,-0.027174
9624,0.024169,0.12264,-0.027361
9670,-0.065052,-0.11735,0.0027285
9671,-0.045481,-0.12088,0.0033453
9739,0.18542,0.040172,-0.019608
9740,0.19139,0.024509,-0.018891
9742,0.15185,-0.079148,0.0017245
9743,0.13883,-0.089015,0.0022258
9775,-0.17183,-0.061128,-0.019826
9776,-0.16058,-0.072857,-0.019824
9777,-0.1479,-0.083479,-0.019749
9790,-0.16141,-0.070849,-0.0013384
9821,-0.0054503,-0.12439,0.0042317
9842,-0.15832,0.073968,-0.020363
9844,-0.16995,0.062165,-0.01997
9882,-0.039374,0.1227,-0.0037385
9883,-0.039659,0.12191,-0.026193
9890,0.1395,0.089582,-0.02323
9987,0.036184,-0.1218,-0.017955
10012,-0.17872,0.049049,-0.0020069
10013,-0.18648,0.034327,-0.0021227
10048,-0.11552,0.10259,-0.0021767
10049,-0.098305,0.10955,-0.0024785
10154,0.016181,-0.12357,-0.01816
10256,0.1909,0.021653,-0.0016015
10286,0.15372,0.079084,-0.022231
10303,-0.025556,-0.1232,0.0038794
10367,0.12443,-0.097836,0.002738
10382,-0.024168,-0.12297,-0.018581
10498,-0.14567,0.084801,-0.020853
10499,-0.13159,0.094487,-0.021521
10534,-0.14512,0.084675,-0.0018743
10535,-0.15768,0.074003,-0.0018762
10537,-0.13109,0.09419,-0.0019665
10542,0.073153,-0.11633,0.004056
10570,0.054144,-0.12004,0.0043276
10739,-0.004019,-0.12379,-0.01838
10740,0.14102,-0.087586,-0.017092
10741,0.12659,-0.096562,-0.017132
10757,-0.18106,-0.047774,-0.019808
10764,0.16596,-0.066732,-0.017111
10765,0.15405,-0.077569,-0.017097
10844,-0.084152,-0.11301,0.0020366
10898,0.17616,-0.054368,-0.017165
10967,-0.1691,0.062344,-0.0019308
