"vtkOriginalPointIds","Points:0","Points:1","Points:2"
7221,0.090161,-0.00089302,0.50086
7222,0.088639,-0.028577,0.49751
7223,0.11693,-0.030878,0.48461
7441,0.059591,0.028994,0.50635
7442,0.029086,0.031981,0.51089
7443,0.029189,0.0039802,0.5155
7444,0.060055,0.0016607,0.51028
8666,0.028549,-0.024781,0.51292
8667,-0.0022967,-0.022372,0.515
8668,-0.0024255,-0.049435,0.50539
8669,0.027406,-0.051182,0.5025
9155,-0.0019411,0.006803,0.51667
9178,-0.033216,-0.019466,0.5134
9186,0.025807,-0.072233,0.48601
9187,-0.0022405,-0.071267,0.48928
9592,0.058082,0.053726,0.4963
9655,0.084887,-0.053813,0.48698
10440,0.059083,-0.026625,0.50711
10838,0.056624,-0.052449,0.49637
10873,0.089587,0.026368,0.49805
