"vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,-1,-0.4,-0.4
1,-1,-0.4,-0.2
2,-1,-0.4,0
3,-1,-0.4,0.2
4,-1,-0.4,0.4
5,-1,-0.2,-0.4
6,-1,-0.2,-0.2
7,-1,-0.2,0
8,-1,-0.2,0.2
9,-1,-0.2,0.4
10,-1,0,-0.4
11,-1,0,-0.2
12,-1,0,0
13,-1,0,0.2
14,-1,0,0.4
15,-1,0.2,-0.4
16,-1,0.2,-0.2
17,-1,0.2,0
18,-1,0.2,0.2
19,-1,0.2,0.4
20,-1,0.4,-0.4
21,-1,0.4,-0.2
22,-1,0.4,0
23,-1,0.4,0.2
24,-1,0.4,0.4
275,-1,-0.4,-0.3
276,-1,-0.4,-0.1
277,-1,-0.4,0.1
278,-1,-0.4,0.3
279,-1,-0.3,-0.4
280,-1,-0.3,-0.3
281,-1,-0.3,-0.2
282,-1,-0.3,-0.1
283,-1,-0.3,-0
284,-1,-0.3,0.1
285,-1,-0.3,0.2
286,-1,-0.3,0.3
287,-1,-0.3,0.4
288,-1,-0.2,-0.3
289,-1,-0.2,-0.1
290,-1,-0.2,0.1
291,-1,-0.2,0.3
292,-1,-0.1,-0.4
293,-1,-0.1,-0.3
294,-1,-0.1,-0.2
295,-1,-0.1,-0.1
296,-1,-0.1,-0
297,-1,-0.1,0.1
298,-1,-0.1,0.2
299,-1,-0.1,0.3
300,-1,-0.1,0.4
301,-1,-0,-0.3
302,-1,-0,-0.1
303,-1,-0,0.1
304,-1,-0,0.3
305,-1,0.1,-0.4
306,-1,0.1,-0.3
307,-1,0.1,-0.2
308,-1,0.1,-0.1
309,-1,0.1,-0
310,-1,0.1,0.1
311,-1,0.1,0.2
312,-1,0.1,0.3
313,-1,0.1,0.4
314,-1,0.2,-0.3
315,-1,0.2,-0.1
316,-1,0.2,0.1
317,-1,0.2,0.3
318,-1,0.3,-0.4
319,-1,0.3,-0.3
320,-1,0.3,-0.2
321,-1,0.3,-0.1
322,-1,0.3,-0
323,-1,0.3,0.1
324,-1,0.3,0.2
325,-1,0.3,0.3
326,-1,0.3,0.4
327,-1,0.4,-0.3
328,-1,0.4,-0.1
329,-1,0.4,0.1
330,-1,0.4,0.3
